,photoid,specid,ra,dec,z,dl,logstmass,logsfr,envflag
6752,1237667781219713219,2819268830008731648,174.221538,21.004212,0.030049,131.656,10.4266,0.0784,2
6753,1237662194000920697,1554884315848927232,217.914521,36.921111,0.02918,127.768,10.0575,-0.7689,2
6754,1237661149766746169,1440094471353034752,191.547955,48.667534,0.030824,135.129,10.5178,-3.6429,2
6755,1237657628439347341,1348832806100297728,134.713555,38.809536,0.028338,124.005,10.962,-3.542,2
6756,1237657608576762006,1010077945433188352,134.894058,45.926709,0.02812,123.028,10.2128,-0.3087,2
6757,1237655374112555181,922243730637875200,252.394607,36.200913,0.030009,131.477,10.9111,0.138,2
6758,1237671939260350576,689128843193116672,227.068293,56.668867,0.029175,127.745,10.187,-3.9809,2
6759,1237671124296859914,2898237127911303168,133.542938,11.149108,0.029766,130.391,10.0411,-1.5395,2
6760,1237671124294566200,2895970759098787840,128.417098,9.963692,0.030763,134.856,10.6498,-3.748,2
6761,1237670964846264371,2739346148396394496,134.680264,12.677214,0.030034,131.589,10.2351,-0.0462,2
6762,1237665129066070035,2188903957076666368,145.613817,28.952807,0.0292,127.858,10.6232,-3.4917,2
6763,1237662501080268882,1893918452805036032,241.129953,37.159536,0.030884,135.402,10.5421,-3.6859,2
6764,1237660613972590704,1374748846298523648,167.468042,9.519435,0.02976,130.361,10.7638,-3.757,2
6765,1237657775543025682,1348985913094465536,135.065083,40.296755,0.028906,126.542,10.5884,-3.4249,2
6766,1237664093431792103,2164101172602890240,121.053031,20.367133,0.031345,137.469,10.0322,-4.2721,2
6767,1237668290153021598,2906037063415523328,144.834204,16.363733,0.029132,127.554,10.1016,-3.6516,2
6800,1237656529992548527,412204194313824256,261.968848,60.097284,0.027835,121.755,10.669,-3.7289,3
6801,1237659896173887502,403174726609954816,262.156376,57.145048,0.027521,120.355,10.3567,-2.9878,3
6802,1237665330924945422,2358928863276328960,181.785329,32.995883,0.026529,115.932,10.2892,-0.0236,3
